,product_count
Perfume,665
Moisturizers,451
Face Serums,384
Value & Gift Sets,378
Face Wash & Cleansers,247
Face Masks,230
Rollerballs & Travel Size,228
Hair Styling Products,224
Eye Palettes,202
Lipstick,191
Eye Creams & Treatments,191
Shampoo,186
Face Brushes,183
Highlighter,169
Foundation,163
Cologne,158
Mini Size,154
Mascara,154
Conditioner,147
Candles & Home Scents,144
